month_day,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12-31,5032.5,5056.0,4954.0,5007.0,35.0,5026.0,5059.0,5087.0,5003.5,,5020.0,5011.5,,4956.5,
12-30,5040.5,5011.5,4916.0,5012.0,5012.0,0.0,5094.5,5043.0,4973.0,,4963.0,5034.0,,4928.0,
12-29,5058.0,5031.0,4871.0,5014.0,5021.5,0.8550000000000001,5064.0,5012.5,5104.0,,5018.5,5006.5,,4951.5,
12-28,5044.0,5083.5,4986.5,5035.5,5018.0,0.0,5020.5,4999.0,5053.5,,5047.5,5015.5,,4922.0,
12-27,4984.5,5064.5,5027.5,5041.0,4992.0,0.0,5055.5,5074.5,5037.5,,4998.0,5042.5,,4949.0,
12-26,4948.0,5046.5,5019.5,5043.0,4985.5,0.0,5040.0,5075.5,5027.0,,5017.5,5061.5,,4949.5,
12-25,4963.5,5001.5,5076.5,5095.0,5036.0,0.0,4972.0,4999.0,4943.0,,5032.0,4988.5,,4993.0,
12-24,4979.0,5021.0,5095.0,5096.5,5002.0,0.0,4984.5,4974.5,5008.5,,5023.0,4976.5,,4979.5,
12-23,4959.0,5028.5,1009.0,5079.5,4986.5,0.3299999999999999,5041.0,4950.5,5031.5,,5025.5,5003.0,,4972.0,
12-22,4955.0,5002.0,5069.5,5087.5,5003.5,0.26,5013.5,4941.0,5073.5,,5045.0,5006.0,,4954.5,
12-21,5050.0,4999.0,5042.5,5020.5,5027.0,0.0,4995.0,4995.0,5075.0,,4966.0,5038.5,,4984.5,
12-20,5006.0,5049.0,4973.5,5036.0,5036.5,0.0,5037.0,5004.0,5067.0,,5051.0,5054.0,,5010.0,
12-19,5004.0,5046.0,4979.0,5067.5,5007.0,0.0,5052.5,5034.0,5066.5,,5030.0,5012.5,,4994.0,
12-18,5015.0,5083.5,5007.0,5028.5,4986.5,0.0,5071.5,5048.0,5054.0,,5011.5,5035.5,,5036.0,
12-17,5021.5,5068.5,5039.5,5094.5,4952.5,0.0,5056.5,5021.0,4988.5,,5024.5,5060.5,,5013.5,
12-16,5001.0,5053.5,5028.0,5094.5,4993.0,0.0,5069.5,4992.5,4946.0,,5068.5,5059.5,,4982.0,
12-15,5027.0,5047.5,664.0,5074.5,4988.5,0.0,5068.0,4970.0,5004.5,,5038.0,5028.5,,4943.0,
01-21,,4990.5,4968.0,5019.0,4956.0,135.0,5015.5,5100.0,5084.0,4960.0,,4970.0,5021.0,,5091.5
01-20,,5050.5,4971.0,5048.5,4999.0,25.0,5070.0,5081.5,5023.5,4961.5,,5048.0,5071.5,,5095.0
01-19,,5061.0,4997.0,5025.5,4991.5,145.0,5010.0,5056.5,5068.5,4964.0,,5073.0,5100.5,,5092.5
01-18,,5066.0,5022.5,5023.5,5006.0,110.0,5050.0,5024.5,5036.0,5008.0,,5040.0,5066.5,,4997.5
01-17,,5078.5,5032.0,5012.0,5035.5,105.0,5053.5,5025.5,5045.0,5061.0,,5029.0,4997.5,,5009.5
01-16,,5072.5,5039.5,5026.0,4993.0,115.0,5063.0,5004.0,5023.0,5076.5,,5039.0,5051.5,,5029.5
01-15,,5117.0,5085.5,5070.0,4979.0,101.0,5050.5,5079.5,4998.5,5069.5,,5048.0,5051.5,,5066.0
01-14,,5088.0,5076.5,5080.0,5031.5,86.0,8.5,5090.5,4969.0,5115.0,,5069.0,4985.0,,5073.0
01-13,,5062.0,5032.0,5075.5,5022.5,65.0,5012.0,5102.0,5023.5,5103.5,,5094.5,4995.5,,5067.5
01-12,,5082.5,5064.0,5084.0,5035.0,44.0,4978.5,5108.5,5036.0,5053.5,,5104.5,4984.5,,5074.5
01-11,,5058.0,5103.0,5063.0,5041.0,180.0,5016.0,5072.5,5030.0,4972.0,,5084.0,5010.5,,5056.0
01-10,,5067.0,5087.5,5039.5,5027.0,90.0,4978.5,5053.0,105.0,4975.5,,5039.0,5042.5,,5104.5
01-09,,5042.5,5063.0,5011.5,5082.5,95.0,5008.5,5098.0,5048.0,5006.5,,5075.0,4988.5,,5134.5
01-08,,5000.0,5054.5,5001.0,5072.5,140.0,5052.0,5083.0,5031.5,5073.0,,5079.0,4961.5,,5029.0
01-07,,4984.5,5067.0,5041.0,5056.5,95.0,5046.0,5145.0,5016.5,5064.0,,4996.0,5038.5,,4996.5
01-06,,4958.0,5051.0,5038.0,5041.0,105.0,5054.5,5128.5,5007.0,5030.0,,4983.0,5042.5,,5020.0
01-05,,4960.5,5049.0,5029.5,5040.0,85.0,5055.0,5073.0,5008.0,5017.5,,5022.0,5064.0,,5017.0
01-04,,5060.5,5088.5,5024.5,5090.5,105.0,5030.0,5067.0,5044.5,5010.0,,5028.5,5052.0,,5004.0
01-03,,4998.5,5105.5,5021.5,5067.0,105.0,4988.0,5028.5,5073.5,5046.0,,5025.0,5039.5,,5040.0
01-02,,4963.0,5066.0,5006.5,5122.0,175.0,5075.5,5034.5,5062.5,5002.5,,5037.0,4991.5,,5065.0
01-01,,4984.0,5065.5,4989.5,5121.5,110.0,5076.5,5039.0,5076.5,4969.0,,5042.5,4963.0,,5004.0
